folder_name,market,report_length
NASDAQ_MDLZ_2018,NASDAQ,97583
NASDAQ_REGN_2021,NASDAQ,149989
NASDAQ_ADBE_2019,NASDAQ,31475
NASDAQ_ARNA_2020,NASDAQ,26893
NASDAQ_NCLH_2016,NASDAQ,47481
NASDAQ_CAC_2020,NASDAQ,33510
NASDAQ_SHOO_2019,NASDAQ,95340
NASDAQ_INTC_2012,NASDAQ,499953
NASDAQ_GOGL_2018,NASDAQ,36626
NASDAQ_MYL_2016,NASDAQ,134084
NASDAQ_QCOM_2006_2007,NASDAQ,87126
NASDAQ_AGIO_2020,NASDAQ,31867
NASDAQ_FANG_2022,NASDAQ,124437
NASDAQ_ALXN_2019,NASDAQ,118552
NASDAQ_FFBC_2021,NASDAQ,55391
NASDAQ_LSCC_2020,NASDAQ,14360
NASDAQ_NXPI_2021,NASDAQ,405840
NASDAQ_TRMB_2021,NASDAQ,104450
NASDAQ_VECO_2020,NASDAQ,113559
NASDAQ_SANM_2021,NASDAQ,72705
NASDAQ_AMZN_2018_2019,NASDAQ,94111
NASDAQ_NXPI_2020,NASDAQ,315665
NASDAQ_FSLR_2021,NASDAQ,98803
NASDAQ_MDLZ_2016,NASDAQ,84734
NASDAQ_NXPI_2017,NASDAQ,222777
NASDAQ_UCBI_2020,NASDAQ,59174
NASDAQ_INTU_2019,NASDAQ,80306
NASDAQ_NLOK_2014,NASDAQ,162871
NASDAQ_TEAM_2022,NASDAQ,74523
NASDAQ_UNFI_2013,NASDAQ,29420
NASDAQ_TXN_2020,NASDAQ,224524
NASDAQ_VREX_2016_2017,NASDAQ,84786
NASDAQ_BKNG_2019,NASDAQ,38968
NASDAQ_ALXN_2020,NASDAQ,165167
NASDAQ_MEOH_2011,NASDAQ,124808
NASDAQ_GMAB_2014,NASDAQ,21076
NASDAQ_GMAB_2016,NASDAQ,22499
NASDAQ_PDCO_2017,NASDAQ,20062
NASDAQ_ITRI_2016,NASDAQ,29790
NASDAQ_SCHN_2020_2021,NASDAQ,170162
NASDAQ_AMAL_2016,NASDAQ,18881
NASDAQ_WWD_2017,NASDAQ,49015
NASDAQ_REGN_2020,NASDAQ,165518
NASDAQ_CTAS_2021_2022,NASDAQ,304601
